,feature,f1-neigh,f1-lr,f1-net,av_cos
0,is_eaten_edible,0.1984732824427481,0.8669527896995708,0.8789237668161435,0.3287
1,is_fast,0.3,0.4590163934426229,0.2666666666666666,0.247
2,crowd_is_found_in_seas,0.5970149253731344,0.9583333333333331,0.9375,0.5001
3,is_a_vehicle,0.7586206896551725,0.75,0.6153846153846153,0.3367
4,is_a_musical_instrument,0.7804878048780487,0.9361702127659576,0.8636363636363636,0.4599
5,poly0_is_an_animal,0.2749999999999999,0.9891696750902528,0.9927536231884058,0.3244
6,is_red,0.196078431372549,0.1754385964912281,0.1304347826086956,0.2546
7,does_grow,0.25,0.8129032258064516,0.8108108108108107,0.3704
8,ci_is_food,0.1793103448275862,0.923076923076923,0.9156626506024096,0.3057
9,has_fur_hair,0.425,0.6741573033707866,0.6835443037974684,0.344
10,made_of_metal,0.0195121951219512,0.8238213399503722,0.8390243902439024,0.1622
11,ci_is_found_in_seas,0.6557377049180327,0.9696969696969696,0.9634146341463414,0.4367
12,is_found_in_seas,0.6274509803921569,0.787878787878788,0.7999999999999999,0.3779
13,is_colourful,0.0,0.2950819672131148,0.25,0.2117
14,is_grown,0.3902439024390243,0.3783783783783784,0.3125,0.4186
15,ci_is_red,0.1714285714285714,0.5185185185185185,0.5106382978723404,0.2343
16,has_a_stalk_stem,0.2790697674418604,0.6349206349206349,0.576923076923077,0.3992
17,has_roots,0.074074074074074,0.7234042553191489,0.6190476190476191,0.3665
18,has_a_blade_blades,0.4137931034482759,0.7058823529411765,0.6451612903225806,0.3181
19,ci_has_wheels,0.7118644067796611,0.9523809523809524,0.9523809523809524,0.3781
20,is_for_children,0.0,0.2352941176470588,0.0,0.1899
21,does_make_sound_a_noise,0.6363636363636364,0.7450980392156864,0.7234042553191489,0.3527
22,has_a_seat_seats,0.358974358974359,0.4705882352941176,0.2631578947368421,0.221
23,has_a_handle_handles,0.1298701298701298,0.5846153846153846,0.5641025641025642,0.2207
24,has_eyes,0.2033898305084745,0.2820512820512821,0.1071428571428571,0.2936
25,is_a_weapon,0.4848484848484848,0.7272727272727272,0.5945945945945945,0.3018
26,ci_is_dangerous,0.2596153846153846,0.8818443804034581,0.8863636363636364,0.2432
27,is_expensive,0.0,0.3999999999999999,0.3333333333333332,0.1601
28,is_heavy,0.0,0.2121212121212121,0.1739130434782608,0.1506
29,does_protect,0.0799999999999999,0.3157894736842105,0.2580645161290322,0.2372
30,has_teeth,0.4406779661016949,0.5116279069767441,0.2941176470588235,0.3003
31,is_sweet,0.3846153846153846,0.7894736842105263,0.7536231884057972,0.3776
32,has_leaves,0.0888888888888888,0.7654320987654322,0.7466666666666666,0.3695
33,has_feathers,0.3928571428571429,0.8648648648648648,0.7878787878787878,0.3428
34,is_black,0.0579710144927536,0.2608695652173913,0.2253521126760563,0.1957
35,is_a_tool,0.2926829268292683,0.5,0.4166666666666666,0.2576
36,is_electric,0.4444444444444444,0.6666666666666667,0.4999999999999999,0.2113
37,ci_does_kill,0.3529411764705882,0.8341708542713568,0.83248730964467,0.2717
38,has_pips_seeds,0.4000000000000001,0.4571428571428572,0.1481481481481481,0.4702
39,poly1_is_food,0.2568807339449541,0.9895833333333331,0.9895833333333331,0.3601
40,is_pretty_attractive_beautiful,0.1176470588235294,0.5357142857142857,0.4545454545454545,0.2667
41,made_of_cotton,0.4242424242424242,0.7111111111111111,0.6,0.3689
42,is_soft,0.074074074074074,0.2222222222222222,0.0666666666666666,0.2424
43,crowd_is_used_in_cooking,0.2380952380952381,0.961038961038961,0.961038961038961,0.5497
44,is_hard,0.0,0.2777777777777777,0.0833333333333333,0.1632
45,ci_is_black,0.0476190476190476,0.7749999999999999,0.7692307692307694,0.1866
46,has_an_engine,0.5945945945945946,0.6500000000000001,0.5714285714285714,0.2978
47,is_small,0.036144578313253,0.4551282051282051,0.4275362318840579,0.1797
48,poly2_is_an_animal,0.3137254901960785,0.9921875,0.9961089494163424,0.3313
49,is_found_in_kitchens,0.1999999999999999,0.7272727272727274,0.65,0.3279
50,is_warm,0.25,0.5714285714285714,0.4285714285714285,0.3497
51,crowd_does_kill,0.4146341463414634,0.7906976744186046,0.8125,0.3001
52,is_useful,0.1066666666666666,0.5303030303030303,0.3669724770642202,0.1946
53,does_carry_transport,0.5,0.6031746031746031,0.5384615384615384,0.2649
54,is_a_plant,0.1176470588235294,0.6428571428571428,0.6538461538461537,0.369
55,is_strong,0.0,0.3,0.0689655172413793,0.1461
56,has_wheels,0.6666666666666666,0.896551724137931,0.8518518518518519,0.3163
57,ci_is_used_in_cooking,0.2222222222222222,0.980544747081712,0.9767441860465116,0.368
58,made_of_glass,0.16,0.2307692307692307,0.0,0.222
59,is_dangerous,0.2596153846153846,0.8793103448275862,0.8863636363636364,0.2432
60,is_circular_round,0.0266666666666666,0.4028776978417265,0.3302752293577981,0.1888
61,has_wings,0.3661971830985915,0.8484848484848485,0.8043478260869564,0.3448
62,has_a_point,0.0,0.3870967741935484,0.2307692307692307,0.2282
63,is_healthy,0.3749999999999999,0.4583333333333333,0.3529411764705882,0.4103
64,is_noisy_loud,0.1818181818181818,0.4871794871794871,0.360655737704918,0.1829
65,has_four_legs,0.5822784810126582,0.6666666666666666,0.625,0.3412
66,made_of_plastic,0.0431654676258992,0.6044776119402985,0.6196078431372549,0.1785
67,does_make_music,0.8571428571428571,0.9230769230769232,0.8947368421052632,0.5481
68,is_pink,0.0,0.1874999999999999,0.0,0.2683
69,made_of_wood,0.0172413793103448,0.5938864628820961,0.619718309859155,0.1708
70,has_skin,0.4285714285714285,0.55,0.4137931034482758,0.2683
71,does_swim,0.392156862745098,0.7714285714285715,0.7301587301587302,0.3916
72,is_green,0.2816901408450704,0.490566037735849,0.4269662921348314,0.3144
73,is_an_animal,0.3181818181818182,0.7782805429864253,0.780952380952381,0.327
74,crowd_is_dangerous,0.2641509433962264,0.8449612403100775,0.8603773584905661,0.258
75,is_a_fruit,0.5714285714285714,0.8135593220338982,0.7307692307692308,0.4374
76,does_lay_eggs,0.1666666666666666,0.2307692307692307,0.0,0.3436
77,ci_made_of_wood,0.0,0.8383233532934131,0.8363636363636364,0.1665
78,ci_is_an_animal,0.2062780269058296,0.9702970297029702,0.9677419354838708,0.3312
79,does_eat,0.3539823008849557,0.7027027027027027,0.6892655367231639,0.3397
80,has_skin_peel,0.44,0.6885245901639345,0.6428571428571429,0.4555
81,has_legs,0.2406015037593984,0.6697247706422018,0.6635071090047393,0.2837
82,is_thin,0.0,0.0937499999999999,0.0,0.1622
83,crowd_does_live_in_water,0.0,1.0,0.0,0.4835
84,does_kill,0.4375,0.5789473684210527,0.4375,0.2764
85,is_juicy,0.6500000000000001,0.5555555555555556,0.5625,0.497
86,has_a_tail,0.3125,0.6805555555555556,0.6666666666666667,0.3338
87,does_smell_is_smelly,0.0,0.4642857142857142,0.1538461538461538,0.2235
88,is_food,0.1538461538461538,0.5573770491803278,0.5283018867924528,0.36
89,is_brown,0.027027027027027,0.3308270676691729,0.183673469387755,0.2074
90,is_played_does_play,0.8108108108108109,0.9767441860465116,0.9268292682926828,0.5321
91,is_clothing,0.3414634146341463,0.8955223880597014,0.8709677419354839,0.3763
92,is_sharp,0.358974358974359,0.6545454545454547,0.5531914893617021,0.287
93,has_flesh,0.4878048780487805,0.4736842105263157,0.2222222222222221,0.3471
94,ci_is_yellow,0.1481481481481481,0.6222222222222222,0.4736842105263159,0.2292
95,is_tasty,0.1818181818181818,0.8522727272727273,0.8488372093023254,0.3495
96,is_white,0.0,0.2580645161290322,0.1162790697674418,0.1777
97,is_used_in_cooking,0.0444444444444444,0.575,0.5507246376811594,0.3381
98,is_for_women_females_girls,0.2499999999999999,0.6842105263157895,0.4827586206896551,0.3584
99,is_big_large,0.0347826086956521,0.4893617021276596,0.4363636363636363,0.1756
100,is_yellow,0.1276595744680851,0.2253521126760563,0.0,0.2395
101,made_of_fabric_cloth_material,0.125,0.7543859649122806,0.7238095238095237,0.2688
102,does_live_in_water,0.4285714285714286,0.4782608695652173,0.3589743589743589,0.3911
103,is_a_vegetable,0.7083333333333333,0.7843137254901961,0.7234042553191489,0.519
104,is_an_insect,0.5405405405405405,0.7317073170731707,0.6470588235294118,0.3967
105,is_tall,0.1818181818181818,0.6451612903225806,0.5185185185185185,0.2514
106,is_a_bird,0.4150943396226415,0.8695652173913043,0.8253968253968254,0.3779
107,has_a_beak,0.4074074074074074,0.8571428571428571,0.8307692307692307,0.3743
108,is_a_mammal,0.5747126436781609,0.838095238095238,0.8484848484848485,0.3693
109,is_long,0.0,0.3506493506493506,0.2758620689655172,0.1725
110,is_worn,0.2666666666666667,0.9019607843137256,0.88659793814433,0.3173
111,does_fly,0.4062499999999999,0.7640449438202246,0.7469879518072289,0.3297
112,has_claws,0.3181818181818182,0.4375,0.24,0.3523
